Deterministic Wind - Best Forecast (MW),,,,,,,,,,,,,,,,,,,
,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17,w18,w19
t1,154.0692150593,33.9857429266,32.3709905148,50.3255233169,11.1035205424,91.0188764334,62.5101685524,11.5515198559,56.1101093888,48.789127171,63.2894709706,50.5321785808,62.1494024992,18.2928655297,139.9483859539,91.0567849874,76.2204498053,156.4052581787,36.6528086364
t2,119.3486452103,30.5796660483,31.2379963696,47.3793491721,7.5640004128,73.4480828047,55.7313010097,14.3009439111,52.7876168489,25.5635373294,84.8086774349,54.5155227184,67.0817166567,14.4069425762,130.1880866289,91.6011661291,63.0478397012,138.6895269156,28.9729937911
t3,96.8918591738,25.8225470781,31.2199898064,35.7633255422,3.6085509695,71.1837753654,70.8752408624,8.4805592895,58.1244304776,9.7217001021,56.6140428185,43.4672489762,73.6864238977,16.1435868591,96.5884655714,76.5351444483,33.2392461598,64.5881965756,25.4084452987
t4,43.4896498919,20.081486553,24.7518382967,22.5319594145,1.8791436218,54.4589862227,94.2038655281,17.8778998554,73.7651512027,13.6529546231,32.0592418313,32.1466594934,45.1817750931,11.5159995854,59.3637317419,62.3466655612,24.7369296849,25.2463728189,13.6881854385
t5,30.7720564306,13.2228154689,13.259197399,11.0926833004,1.523033157,70.5237954855,82.8261852264,54.8121705651,51.0176673532,20.4227149487,33.0525688827,24.8357601464,33.2921281457,6.3629653305,39.4215837121,62.7019062638,24.0659058094,14.6566405892,5.7363387197
t6,11.554575339,5.3966330364,59.8531901836,27.0699620247,7.8281437978,61.1634939909,52.2517159581,64.1091898084,26.2321360409,12.8690756857,23.2727184892,10.1282838732,19.8317483068,3.2106880099,36.89661026,49.1459324956,34.9227882922,17.873115465,2.51030121
t7,8.206570521,4.5042157173,48.4806910157,81.9394737482,15.2571458369,32.043863833,21.1687289178,53.699670732,8.0519562587,5.47184553,30.3670495749,4.2422932573,7.0620328188,1.8813040573,16.7557395995,27.8912387788,30.4025821388,28.2233722508,1.4597883448
t8,10.0678414106,3.5863350146,33.5108108819,73.0758592486,18.9777709544,8.973258175,9.1402703896,32.3514327407,4.0740251541,5.7654166594,28.8142561913,2.7268683538,4.026057478,1.6305940691,12.0819993317,10.8129803091,35.3156358004,30.6365713477,1.2447840068
t9,9.529209137,3.2373106107,21.2919428945,42.8164109588,15.0559298694,4.9524731934,10.9774690121,16.2797246128,4.8258578405,5.7533450425,29.1053138673,2.7467871085,3.0848549679,1.2186055072,12.8755174577,5.9573767707,40.3378844261,37.233055383,0.8905276889
t10,10.896043852,2.5971606374,12.2885260731,16.9172298163,9.6115786582,4.8894574866,11.4051762968,12.5265553594,6.2133936211,4.5729381032,26.3368427753,3.0651334673,3.2468078658,0.8839550894,12.4874532223,6.4957335591,43.2379111648,58.7754428387,0.7775065256
t11,27.1882653236,2.6221906766,7.5119320303,7.8198200092,9.6169084311,5.2673293278,9.1188887134,15.5181862414,5.5722143501,5.0567127764,46.0494965315,4.2953129858,3.7357172929,0.9420936462,14.0449002385,8.5912344977,57.8738719225,72.705450654,1.4850479085
t12,47.0853433013,4.3804331683,6.63149748,4.2774737813,10.5991590768,6.4643556252,10.2601502091,11.1115884036,3.8526272401,8.7116645649,64.527900517,13.9734886587,8.8193999603,1.0926194955,17.7350185812,9.7943175584,67.3965856433,85.3109389544,3.8148153573
t13,71.1752995849,9.5882356167,13.2794972509,8.8729273528,10.5414412916,7.6693648472,11.9209036231,16.4332352579,3.5022659227,12.9662711173,89.8733049631,32.7974058688,25.7481448352,1.2147438247,30.3500778973,14.4375801086,96.4592993259,96.7335283756,4.6603163704
t14,71.2342724204,11.9697064161,31.5021269023,16.3907747716,9.8901987076,11.3665569574,12.9882015288,23.1327429414,3.8036408834,15.1974409819,124.3153452873,53.8716584444,23.973338306,3.9743444882,53.0145674944,22.2227230668,99.0410238504,99.8061239719,4.1758404113
t15,63.5445669293,15.0300208479,29.4484823942,39.7591084242,12.1940609068,22.1902795136,11.298378557,22.6758755744,5.3424932063,14.1439072788,118.5322344303,63.8096943498,22.9768060148,10.9461721033,86.8320196867,28.4325622022,74.9576434493,111.7659956217,4.7894999385
t16,42.101508379,10.336888209,27.3534715176,33.1022769213,8.1421907991,19.4420278072,8.8667359203,10.7832111418,3.2184004784,16.0047244281,96.1814939976,66.7139679193,23.8010287285,11.7197301239,78.4743189812,18.9087733626,85.3355258703,82.1749538183,4.8271816224
t17,99.3129104376,9.6321735531,24.5852977037,18.074741587,4.3809939176,15.4134571552,14.98939991,8.5523022339,3.5620322451,46.5305015445,130.1959455013,67.5847738981,42.8247660398,9.6083689481,80.1940619946,23.681909591,98.8455086946,121.873703599,9.7620941699
t18,160.5110406876,15.5830174685,24.6701225638,14.2655164003,7.6720196754,37.89473176,31.0528233647,9.2176705599,17.4845181406,63.4577259421,147.0092117786,99.0788966417,102.2023648024,18.108349666,147.9630410671,49.4817763567,94.4474369287,138.4594917297,21.930603683
t19,171.9801485538,23.341756314,26.7969086766,18.0780965835,8.4400283173,68.723385036,30.9560872614,21.7078261077,23.4646573663,64.7900685668,167.7446007729,86.3304466009,116.3313210011,17.5046347082,183.0576896667,109.4600647688,102.482137084,105.2609503269,32.0794321597
t20,215.5208051205,37.8524512053,49.308617413,56.9821491838,15.1620727032,105.738607049,38.8232991099,26.8186323345,26.5445798635,72.6707562804,172.2296476364,99.2354393005,122.1238911152,30.6388244033,167.3404633999,136.5970909595,108.8175237179,96.1658209562,50.0037789345
t21,232.8314244747,50.3329843283,79.1592746973,75.3040373325,24.5462961495,172.2035050392,80.1560014486,31.6192477942,42.073148489,84.4548225403,173.7750649452,143.7779098749,142.8402364254,86.5873754025,255.8213353157,225.7754445076,112.1683269739,100.803270936,55.263094604
t22,234.5510601997,69.8153659701,92.0135825872,94.5950657129,29.6161517501,168.2650923729,105.7541817427,36.144386977,72.1381545067,91.6514396667,184.3475818634,132.0753157139,200.9061992168,68.7144845724,353.2526493073,174.0472555161,114.9110287428,116.5214538574,58.8625565171
t23,217.7365243435,72.4558442831,90.304479003,96.8789845705,29.6130917966,176.8284022808,113.8593524694,37.5771448016,89.9557650089,82.0369631052,170.5755114555,101.8829315901,132.8581362963,37.635782361,245.5047011375,149.3455141783,114.5701736212,138.119789958,71.4780941606
t24,211.5926384926,90.1523351669,83.770403266,76.9747585058,37.3050816357,165.7981574535,122.101020813,58.7671950459,94.0533399582,74.4932949543,160.3445112705,106.7150205374,109.1593533754,31.4331807196,171.7224776745,119.1348284483,106.551477313,135.6418579817,58.6649090052
t25,172.6988554001,74.7114524245,59.0308964252,74.2403849959,26.1306367815,153.9943814278,235.7222735882,59.0472400188,144.2974090576,84.1061353683,159.1611206532,99.2473483086,82.7602297068,30.2276685834,139.0365958214,116.1633431911,100.9298712015,124.3061184883,32.5706832111
t26,110.9325349331,45.6418991089,47.7921143174,49.3752300739,18.0300157517,147.9936808348,179.1822552681,38.7803032994,180.4829120636,119.5748448372,183.1537485123,71.9627246261,62.9713788629,21.5854302049,96.8402087688,114.4739896059,101.757261157,110.865676403,38.0780294538
t27,35.4216076434,49.8233109713,46.747840941,45.469468832,25.3083944321,115.3019607067,124.8067975044,30.5721223354,139.765521884,103.9767175913,208.164525032,135.7823878527,76.6191780567,12.8798514605,62.6542836428,123.3443856239,84.9654972553,66.4253801107,25.8523106575
t28,15.9565754235,54.7525808215,66.7568072677,78.3856272697,34.8363250494,97.7005630732,94.3293213844,49.0006238222,145.7794368267,126.0091245174,237.9713952541,33.1397205591,113.5379612446,4.2474679649,127.7913093567,97.7432370186,57.1952998638,32.8508041799,13.3667863905
t29,89.4433647394,38.4621441364,81.8051666021,123.1347709894,35.6177777052,141.4728194475,80.3454369307,58.2648128271,71.6441139579,95.9625899792,180.1580429077,20.4828813672,49.3549481034,2.9005581513,65.4033511877,48.6474171281,94.2522257566,10.9625313431,6.6235855222
t30,65.8912852407,31.7694447935,72.7805837989,111.4994198084,25.8369684219,95.9163308144,61.7508128285,53.528867662,31.2987014651,51.2481763959,128.4356206656,22.8744395077,41.0251379013,3.6061794497,103.6613345146,83.757609129,90.8904969692,5.5478638038,4.2165149935
t31,11.0134363174,8.4903230891,37.5551685691,80.7020902634,20.8362847567,75.0622630119,43.9814820886,27.0417898893,15.6587395817,25.9853214025,100.1282572746,25.0951901078,39.5992442966,9.4206690788,81.3546985388,41.8650582433,82.8474909067,3.0871214345,7.048150152
t32,47.514295578,8.5387811065,30.0030000508,38.1988048553,10.3663232177,30.4631240666,16.2595096976,23.3456410468,11.6453591734,23.424911499,78.8148611784,20.292301476,24.5691686869,5.2952036262,70.7752972841,37.1600076556,51.0956659913,2.3562580347,7.9686105251
t33,136.0940247774,1.811302593,7.6048957184,15.2629852295,4.3008299544,8.7345583364,7.1317881346,3.0901604332,4.7565026209,29.2292587459,96.8996018171,11.6882074624,18.8894212246,8.0200927332,49.5748668909,22.4842898548,33.6203612387,2.2727661766,0.9494988481
t34,39.6860718727,0.9174976498,4.7314167023,12.7655357122,3.1355864368,7.486512512,5.6477241218,1.6109162942,3.641198203,54.9894824624,98.4036058187,4.7369599342,5.4844832048,2.0196364727,73.8180398941,10.9255906194,59.0796858072,2.7335375547,0.7463273825
t35,9.8346211016,1.0106277186,4.7683630139,12.9645109177,2.4265053682,7.299756445,6.9726476446,1.5060254373,3.5725171678,33.402659744,86.0221624374,6.6822934896,2.4228360504,1.7307428643,51.2906759977,7.5901586562,49.7756838799,3.74472728,0.7588296896
t36,26.6854919493,1.2367939577,6.094227545,14.9055585265,2.9203003272,5.7448251173,11.898842454,2.0326745231,4.1972536594,21.2407283485,95.5835491419,10.415398702,3.6266583949,1.5952632297,31.9916255772,6.5195191652,61.4599183202,37.3305648565,1.6844356433
